names,reviewtitles,ratings,reviews
aman,Ok ok in price range but with a catch,2,"First of all it has wired usb port so only for pc and laptops not for cellphone. Now coming to the pc ...when you use it for voice over during video editing there is high eco in voice over audio specially in premiere pro so for mic purpose ""just waste of money"" for me. Also the product I recieved was partially damaged. Left head side over head part was partially damaged."
Chintan Patel,Average product,3,Average product
Andrewchell,For video editing one of the best.,4,I hope good for gaming but I'm not a gamer i use it for video editing so best for one of the best gadget.
Vector Sd,Good quality 😊,5,"I bought this for meeting purpose. I was looking for an overhead headphone with mic. COSMIC-BYTE was an option. But the built quality of COSMIC-BYTE is very poor. So I opted for this BOAT 200.PROS:1. Good sound quality2. Good bass3. Mic quality amazing4. Built quality is premium5. Wire quality is good (Braided & tnagle resistant)6. RGB looks goodCONS:1. A bit heavier2. sweats the ear quite often3. Only USB connection.(No 3.5mm - use OTG for mobile usage)Thats all. Overall I think it is a worthy purchase. (8.5/10)Although, I am dissatisfied with the delivery. The package was terribly crushed & broken. Very poorly handled. The box was opened in all sides & torned. Product is good 👍. Delivery is terribly bad 👎."
Gautham,Bought it for Call of Duty Warzone ! gaming just got 10x better !,5,"Can hear enemy footsteps crystal clear and For 1499 bucks , I would call this a steal deal ! worth every penny just for the gaming features and its very comfortable ! It is worth far more than how much credit its given in the other reviews ! just go for it !"
Piyush,"very big, heavy and so uncomfortable",3,"The product is good looking but it is very big and heavy. Also very tight on the head even though my height is not that big. The sound quality is decent enough, not that great."
Gurvinder Singh,Amazing headphones by BOAT,5,Superb packaging superb sound quality superb noise cancellation function it’s up to the mark for live streaming loved it and must recommended thanks boat for making good headphones at genuine price.
Nirmal Samant,Best Gaming Headphone @1499,5,"Immortal IM-200  is such a amazing and premium quality boat headphone @1500/. It falls under a good and low price range, good to use for beginners.In this Pendamic time where the prices are continuously increasing for the products it's valuable and great to got this product under affordable range specially for PC user's and gamers.It's in round shape.Very light weight and very comfortable for ears  with professional fine finish sound.In this RGB light, which looks good to see in different lights. It comes with secure braided cable also.It comes with adjustable Mic which give clear sounds to the listeners.Headphone comes with 1 year manufacturing warranty also.Overall I would say this is good Gaming headphone for entry level under this price range. Everything is outstanding in this product."
Premlata Chugh,Its good but bass quality is less,4,"The overall headphone is very good, even the build quality...but the only thing i did not like is the bass quality. It has not a very good bass, which is only the problem. Could have been better."
Prasanth,Very good product for its price.,4,"Worth every penny. wish it was a little lighter, but will get used to it.Very good sound quality and very effective mic."
Shravan,"Mic is good, sound is fine.",4,"You can't find a better mic at this price and that's the only thing that stands out about this headphone, everything else is just okay."
Inder d.,Best Headphones at this Price,4,"These are the best headphones I hv=ave used till now, great product at such price, really good...you can use it for gaming, music prod. n video creations"
Ashiq Firoz,Great product for a Good price.,4,Noise cancellation is partial. Have good wire length. Best for pc gamers. Go for it if you are looking for the best in best affordable price.
Devasheesh S.,It's for just gaming but not that good,3,The product is good but you can't use in more than an hour because it's quite heavy and you will feel headache and on the other side it leaks audio too.So i will suggest if you have a good budget then go for a better headset. Rest is up to you.I own I for a month now so that's what my experience says
Mohammed Ibrahim,Good product,5,Working fine.If the option to mute the mic is added it will be a Perfect product
kanishk,Average product,3,Head band feels loose so the entire weight comes in the ears . Sound quality is decent .
Dhruvakumar,Good quality product best in range,5,Overall good
Jemima Johnson,Decent gaming headset,4,"If you want budget gaming headset this is the right one for you,7.1 virtual surround works decentComes with long wire so no need to worryLittle bit loose on my head and heavyMic is decent,but adjustability of mic is poorIf you want a gaming headset under 2k this is the one for youIf you want to use it on Mobile then you should invest in a USB otg cable"
Shaibaaz shaikh,Gud product,5,Gog producy and ita has a long wired which is better
Sayan ghosh,Very bassy sound,4,The media could not be loaded.
Minhaj Mohd,Headphones are really good and sound quality is awesome,5,Have been using this for office calls and the voice quality and noise cancellation is really good!Go for it!!
Vijay,Worth it,4,I like the build quality and overall sound quality is good.Noise cancelling is good the mic is decent for online classes and ingame voice chat
Adhithyan NS,value for money,4,very good productsound quality is awsomein this price range it is the best option for gamingbut you cant use more than  4 hou
Swetakant Panigrahi,Excellent product,4,Mostly sound quality is good. It had different modes. That's quite good for gaming.
Mahesh K.,Nice product but sound can be improved as per the price,4,I like the materials used. it feels premium and sits comfotably on ears.the mic is also good. But the sound quality is about disappointing and it's lacking in bass.
Somtirtha Maity,Sound is good. But too heavy. Don't buy it for WFH purpose.,3,Not for WFH purpose..go for Poly by plantronics and Jabra
Amazon Customer,Fair review,4,"Pros: build quality is very good.Comes with threaded wire.Can be used with and with out the boat 50mm drivers.Price in range of 1500Rs.Cons:No Mike control (need to control with keyboard)Mike can't be folded completelyBig in size, expect little sweat and uncomfortability.RGB lights glow always if you don't have the 50mm boat drivers installed."
Apoorva,"Not worth buying, waste of money",2,I brought this headphones two months back and already it is sent back twice under warrant replacement for microphone not working. Boat service is good but now the product is useless so I have simply wasted my money and time on this product.
BEST SETUP,Cinematic audio quality best for gaming and next level for video editing loved it,5,Nice product value for money and good features best price for under 1700 gaming beast headphone nice choice
Sourav Barat,Good and useful headset for gammers,4,This product is good for gammers but it's wearing feeling is heavy
mouli,Not good not bad as mute button not there,3,If it has mute button great
Anand yadav,All thing is very good,5,
Gourav Singh,"Nice and sturdy headphone, with a perfect microphone.",5,"Nice and sturdy headphone, with a perfect microphone that provides decent noice cancellation. Although one might feel sweaty wearing it for too long. But its a good purchase for the gamers (although I'm not one), music lovers."
Aadhithyan AS,"Everything excellent,but mic is not that gud",4,"The hearing is perfect for gaming extrem sound,quality,little pain after 1abd half hours use but mic is not that good ,bad forStreaming"
Sayan,Great buy for budget gamers,5,I purchased this product a couple of weeks ago. And it has been much better than my expectations. It's a buy worth it for budget gamers
Rohan K,Review After Using 1 Month.,4,I purchased this headphone 1 month back in a sale. This is best purchases I made for myself.Pros:Sound Quality.Mic Quality.Length of cable.USB powered.Cons:Feels heavy after hours of usage.Cable keeps tangle.
FARZAN ZAIDI,Not recommended for professional FPS gaming,3,"I'm valorant gamer im using this headphones since 6 months, not recommended for FPS gaming."
Pinaki,Budget gaming,4,"Pros -Price 1499USB connector - single connector for sound and LEDBig ear capSurround soundCons -It's not 7.1. Good for light gaming but not for proNo mic mute button. One small volume rocker but that too in the headset.Quite heavy, can't use for longer.mic adjustment is not so good."
Mukesh Senwar,Feedback to the headphone is desirable.,3,"Item at par, I have one suggestion that is has no feature of feedback Mick sound to headphone, this feature is desirable for singing song. This item has also no feature of returning and only replacement is enable. Please take the note."
Deepmala solanki,It's like best headset at this price point,5,I like as it is good for gamers who can't afford expensive headset. I prefer to buy it at best offer.
Freddy,Nice gaming headphones,4,Loved the headphones. Lovely Color and design. I can hear secrets from next door now
Placeholder,Good,5,Good
Deep dhan,Sound bleeding,4,"Build Quality-10/10Comfort-9/10Sound Quality-9.5/10Mic check-10/10Only thing which i hate the most is, the sound bleeds its like too much for my ear to handle.In a quiet room can be used as a speaker. When used for gaming pretty descent audio(when vol. is lowered), surround sound is also good."
Rayarakula Anil,Voice Changing Feature,5,wow wow.. lot of features and high quality product.. have 4 types of voices is amazing with boat lab application .. i like very much .. have full comfort with large on heads .. sound quality amazing
Saket Marodia,Worth the Price,5,This is an Amazing Product for the Price they are Charging
"M@N, kolkata",No mute 🔇,5,Like it.... Good for gamming as well wfh.. Except mute.. Option  to slow volume
Anindya,Best gaming headphone under 4k!,5,"I tried other local gaming headphones but non were good since they all gocused on bass insted of clarity , which is an exceptionally bad idea when playing any multiplayer game.This has almost similar clarity as jbl quantum 200 for less then half the price. Which is exceptionally good. The mic is also similarly very clear and crisp.If u are considering for gaming i strongly recommend this one over boat im1000d or any other headphone."
Bhavya patel,Improve Packaging,3,The sound quality is great but I don't like the packing. need to add some cushioning in that.p
Harsh agrawal,It is not per my expectations,3,The media could not be loaded.
Primel Michael,The Product is worth and its sound awesome,4,The Product is worth and its sound awesome
Aakash,An affordable gaming headphone with great sound,5,"I recieved this product two days ago, so I had time to review it in different games. Here's my opinion;Has great sound quality and fits on heads perfectly.Tried it in Valorant and San Andreas sounds were distinct and clear.Apart from game if you're watching movies it gives you immersive experience.Good microphone, make sure that you've enabled noise cancellation in BoAt Plugin LabzComing to build quality: It has good build quality.When it comes to the downside, it feels a little heavier on the head."
JITHIN MANOJ,Great one for Gaming,4,"Overall the product is great for gaming, this is not having good bass as it is not for songs it is for gaming, it will work with mobile phones  using an otg cable. The size of the headphone is bit bigger so smaller head peoples will feel it loss.."
Sanjeet chowdhury,VERY LOW BASS( made for footsteps),3,"Bought these cause of the BOAT brand, but the bass quality is so low that it can't even cross my boat wireless headphones in comparison, and mic is also NOT NOISE CANCELLING, the EDX technology that comes with there driver is essentialy useless, If you are looking for a headphone to improve game performance and hear footsteps and stuff like that, then these are the BEST but, if you want an overall experience where you use it for calls and sometimes music, NOT RECOMMENDED, these can be called ONLY GAMING HEADPHONES."
Chayan saraswat,Fantastic,5,No 1 quality
Sohan Pal,Mic is top quality,5,"Good gaming headphones in this budget. Looks good, not too heavy, easy on the ear. Best thing is the Mic. Perfectly captures my voice, but cleanly removes any background noises. Only con would be, the noise cancellation is bad, i can hear my background sound if i focus. Can work as a pro instead of con in some cases."
GeekSam,Good One,4,Good product
Sahil Bansode,Overall good not for music lovers,4,This has no bass. Good for gaming. Microphone is good.
Karan,Just like every other headphone out there,3,"The size of the headphones is quite large, and it doesn't offer any clamping pressure whatsoever. The ear cups are so large that you can forget about passive notice cancellation. The mic is mounted on a clumsy support and will never stay at one place. Overall fit and ergonomics are below average.They perform well while gaming, sound separation is good, but the plugin you'll have to install is utter trash."
Madhu,Best headphones,5,This Boat product is amazing... One of the best headphones for this prize ... Totally worth it .... The noise cancellation is good enough and the audio quality is just on point ... The cushion is perfect and is soft on the ears ... The headphones looks heavy but it is really light in weight ... The RGB light also adds a cool effect ....and the mic is amazing and the wind reduction on the mic is descent. Definitely go for it
DAVID R.,Getting noise,3,Getting noise
nilanjana paul,Nice 👍,4,
Omkar bhandari,Good and comfortable headset.,4,Sound quality was good during gaming it was very comfortable but the customization software mentioned with the product won't work on my laptop. Please let me know any other possible way to get that software but overall it's a good product.
Nikhil M Raut,Gaming it's OkOk headfone,3,For gaming purpose only. Not recommended for meeting use.
Ratan Dey,The best you can get at this price.,5,"The media could not be loaded.
                



 You wont believe how good the quality is.. its not cheap looking ... anyone would tell its a preety expensive headphone. The bass is balenced and the 7.1 virtual sound works well. Also the mic quality is pretty decent. Ai noise cancelling is not that great but ya its acceptable.The cable length is great and also its breaded. The rbg is good and also the pads are comfortable."
Mohd zaid,Amazing,5,Sound quality is good
Pramod Doddmane,The audio will listen outside,4,Amazing product for this price range .... Budget friendly 😉
Amit Choudhary,Superb Gaming Headphones 🎧,5,"I really liked the quality of it, much better than any other product And there cannot be a better product for gaming at a lower price."
kartik,Wire was tangled very badly,3,"I liked it design, the quality of material is good but the worst thing I am very disappointed was the wire was tangled and till now I am suffering from it. But this headphone is very good in this price range ."
Gautam,Dont buy,3,"Dont buy and stop believing the reviews , most probably they are paid ... my 1000rs hp hdph 5yrs ago was better in terms of sound quality... but thats not the worst thing... the fit on your ears is the worst thing of this hdph... it actually hugs your face instead of your ears... the cuffs are that big... and pains a lot after 1hr -2 hr usage"
Sauvagyaranjan Behera,Good sound quality 👌,4,Good sound quality
Varun,Love boAt😊,4,"Note: these are pc headphones ,idk if they'll work with an otg😅These are great for the price (I got it for rs1499 at the day of launch) .Good looks,good audio quality . And yes the 7.1 surround sound is decent .Great for gaming. I like my purchase and I'm happy ."
wilfred thomas,The best budget gaming headset ever,5,Durable and the volume also high. Best bass and catchy rgb lighting. Also efficient for online meetings and webinars
Hunaidkhan Pathan,Just amazing for gaming and meetings,5,"I have used many boat products in the past but this one is the best till the date.Awesome sound output make sure to install dolby access or boat plugin labs after that result is just amazing.Mic has a great clarity i has AGC for auto gain control, clarity is just amazing for meetings and gaming also.length of the wire is more than enoughI suggest just go for it awesome product by BoatLength of wire is more than enough"
Sakar Chugh,Defected Product,2,"Constant irritating noise in the right year. Money down the drain. 1 week return window , cannot even return it."
Manju t.,Little disappointed,4,"Left speaker of headphone has low bass than roght one so, it is feeling uncomfortable. Sound feeles like that sound is playing in the right side. By the way product quality is good and deapth detailed sound"
nishal thapa,Awsome,5,Gaming best headphone
Kaushik Sharma,They are quiet hard to clean,5,"It is literally perfect for how cheap it is nothing much else to say, it's easy to hear footsteps ingame and for music too it's not bad"
Dipak Gupta,Perfect for gaming 😉,5,"Just perfect for gaming, but music nahi sunn sakta isse because it's not made for music. Software is good, but RGB manual change nahi kar sakte. Built quality mmm perfect hai iss price range mei and mic is awesome, works great while gaming and conference video call. Wire kitni lambi hai yaar! Around 1.8 mts ki wire hai! Pocket friendly headphone toh hai bhai 🙌"
Shivnath Rojatkar,TOO BULKY,3,"The quality of the product is too good. however, it feels a little bulky and heavy.  need to work on the weight of the product and ear cushions."
Hamza,Good,5,Super
lucky K.,"Little Uncomfortable, not for music, only for gaming",3,"Cushions are very big which will hurt your ears, also bass is low so it isn't sutable for music too.....for gaming it's same as any normal earphone"
Sahil Sinha,Not a very balanced sound. Struggles with with drivers. Decent mic. Good build quality.,3,The headphones produce crackling sound in several instances. Little sub-par quality of sound. Mic is decent.
sambit kumar biswal,Good product,4,The media could not be loaded.
Girish Manian,Good,4,"Good product, value for money"
Vaibhav Y.,Best for gaming under this range,5,"This headphone has a very nice experience for gaming. Perfectly clear audio. Can hear footsteps excellently, and it is only worth ₹1500."
Mridul Chawla,Not lacking in any way,5,Read the title ☝️🙂
Shobha L.,It has USB cable to connect in pc or you can buy otg to use in mobile,4,Good
Somnath,Very good,5,I like boat IM200
Salman,mic quality comes with usb is nice,4,"as expected it is a usb works fine plug and play, nice mic quality for call more clarity. headphone speaker is fine.  not yet tried with bass music"
divyang vaishnav,Good product,5,I like it . This is amazing for gaming
Sandip,Good Quality product.,4,Very good product
Harsh Chourasia,Build quality and delivery is little not good,3,Packaging is not good and safty is not there so that is why i m not satisfied
Marappan K,THIS HEADPHONES IS FOR ONLY FOR PC GAMERS WHO PLAY GAMES FOR 4 TO 5 HOURS,4,Ok but sound quality is mediumThis is only for PC Gamers not for Mobile GamersNoise Cancellation is OutstandingMic is perfectToo big headphones Capable for big sized Ears and head having people
Ashish kumar,Nice gaming headset,5,"Best headset with 7.1 surround sound under 2kI was clearly able to hear foot step sound and from which direction the opponent is coming  j was also able to sence very well .mic quality is pretty good.If you're a budget stricten ,I would suggest you to go for this headset because at this price range this is the only headset which comes with 7.1 surround sound"
Brijesh D.,It will auto detect in usb as headphone type. No need to install any software,5,Comfortable and sound quality is good.Ears get sweating as it is over ear.
Tikzz,"Super sound quality ,best for gaming..",4,Superb quality Product....Bt if u use it for mobile phones using splitters or connectors then u may face low sound problem..bt for Pc its super awesome...😍😍
Yami,ONLY gaming,4,Non existent bass only for gaming. Not for music lovers kinda bulky too
Sahil,Must buy,5,Firstly I like this design & it's built quality. It feels sturdy. Coushins are very soft you never feel pain. The sound is also good in music. Bass is normal not boosted. In games it was too good. Highs & lows are also good. Mic is very good. Noise cancellation works very fine. 7.1 sound is also decent. Overall it is must buy product under 1500.without worries go for it.
Dr.Mohsin,nice one for gaming,4,nice one for gaming
Yalmozhi,Worth the money,5,
sanjeev c.,Best for Gaming..,5,"It is best in price you are looking for,,,,Awesome,, if you are gamer it is best.You can use it in mobile using OTG.."
Sumeet,Great Product for Gaming at this price,5,Great product and value for money. Great sound and doesn't bitr you ear even after long usage. My kid also uses the headphone for gaming and very happy with the sound output and comfort.
samparka m.,Best!!! Simply the best for this price!,5,"For gamers out there...i play CS, PUBG, VALO and all sorts of FPS games....and literally you wont get better value product other than this...also the caps are quite big which are super comfortable...the mic is ultra clear..your party members will hear you in HD...only issue is if you have sweating issue than you may sweat a little...other that that best product"
Shaik Abdul Qhayyum,Only Recommended for mic quality and bass less usage 😐,3,"Product is very good and Mic quality is very good. But for those who are looking for bass boosted surround experience and Dub sounds, it's not having perfect bass. Only treble sound makes your ears thirsty as I feel 😑. I feel not better with this and I returned the product."
MOHAMED SALMAN S,Best budget headset ever,5,"The media could not be loaded.
                



 I loved the quality and volume of the headset and didnt expect this much quality from a low-budget headset."
Prasad,Worth buying,5,"The media could not be loaded.
                



 Easy adjustable and Steady mic , good noise cancellation , excellent quality of usb chord."
Abhinav thool,Best Quality In Budget,4,"You will definitely like it, Bcoz you are getting a thing with an affordable price.. Loved it☺👍❤"
Ankit,Audio quality is very good as per price,5,Comfortable and good quality audio in this price with mic. At this price range I think it’s good. RGB lights are decent too.
N Jagadhish,Best for online classes and gaming,5,"The media could not be loaded.
                



 It is best for online class's or and gaming, via otg cable we can connect to Mobil it is nice to use,comfort we can feel we are in heaven if we here wjd play songs, we can't feel that it is there in head best one ever.  ⚠ big one we can't adjust it if you'r head is small don't but."
Nikhil,if you are a gamer then you know it this head phone will be right choice for you,5,"im adding review after couple of months nd the expirence with this head phone was so awsm this provides you so many features like noise cancelletion,etc. you can littrally hear small sounds nd i use this head phone in apex legends nd ive best exp. wth it"
MPCRAO,Very good product. Worth for it's price.,4,Good product. 100% worth for it's price.
amg,Really satisfied with the product,5,I guess this is the best option in this price range. The sound and the mic quality are both great. Noise cancellation is also kinda good. Keep in mind that it's only compatible with pc. Would definitely recommend.
Biswajit D.,Audio quality is really nice and full noise cancelling. Mic is also good no background noise.,5,The media could not be loaded.
Hariharan,Installing the Boat plugin is must to get noise cancellation and good quality,4,Installing the Boat plugin is must to get noise cancellation and good quality
Steve Vins,Amazing value for price!!,5,"The headphones are extremely comfortable. This was my first time having an ""over-ear headphone"", so I was taken aback by how my ears didn't even touch my ear and it didn't hurt at all. One bad thing about these would be that they get a little hot after wearing them for a while."
Avidreadersbc,Not at all suitable for regular use.,2,"This headphone looks nice but it is very very heavy. Not at all suitable for wearing for longer periods of time, especially when gaming for hours. It gives neck pain and feels like a heavy weight on the head. Also, the mic feels very fragile. The volume control is also not that great."
Saran,Not good enough,2,headphones are pretty good for music and gaming but i faced some issues with the mic and once when I was playing a game i felt that it's kinda hurting my ears as well so wouldn't recommed to buy this
Sagarika Pal,Humming sound in right ear cup,3,"The right ear always makes a humming sound in a specific frequency, replaced it but problem was still there."
Arvinder  singh,Good quality,5,Like
Sudeep r.,Mic is very bad,2,The built quality is good but the mic is very bad. You need to literally shout for the other person to hear your voice.
Amazon Customer,Average,2,"Sound quality is good but, wearing it even for a short time cause sweating"
Minecraft K.,Good if gaming,5,The noise cancellation is not soo good but other things are good. I liked the look also and the build quality and its value for money product.
Subrata Dutta,Best Quality Headset,5,The Mic Quality Is Best This Type Of Sound Quality I Have Ever Heard. And The Headset Sound Quality Is Really Good 👍👍. I Will Recommend You All To Buy This Headset 👍
lokesh,Awesome product,5,"Build quality 9/10Audio quality 10/10Noise cancellation 9/10Mic 10/10Bass 7/10, But this is what we can expect from mid range headset. Still great for music and movie watchWire quality 10/10 A+7.1 is absolute loveFor the price range of 1.5k , its a killer deal."
Sandeep,May be good for Gaming but not for music lovers,3,"Very bulgy, sound quality is ok. The volume level is good. Bass is low, not for Indian bass/music lovers."
Kartik Rochwani,Product best in this range,5,"This review is after usage for 3 monthsThis product best in use for gaming, for meetings and also for watching movies you can adjust sound specs in the boat software according with your convenience.Best producy in this range I'm satisfied!"
Faiyaz Shaikh,Best Quality Product at this Price: Amazing,4,"The media could not be loaded.
                



 Overall Good Product at this Price Range. MIC noise Cancellation is Good but the Structure of Mic can be Improved, it is not properly adjustable."
Rohit Das,Gaming,5,It is only for gaming and it's gives a osam experience.
Abhijeet Ajaykumar,TRASH..!!!,1,The most uncomfortaboe fit I have ever experienced.The sound quality is crap.The sound out of the esr cups literally farts and tears out of the driver into your ears.Clarity of sound is not even a topic of discussion.Don't take chance & waste your money on this product.If you are a boAt lover then go for a higher spec model but not this.
J Datta,Boat Plugin Software not working,3,The headphones by itself are pretty good. But the download for the software is not working. File is corrupted. Imagine being such a big company and not being able to put up a proper download.
Pulkit,"Great product, unmatched in this price segment.",5,Great audio quality. Mic has noise cancellation and I found it to be quite good and useful. In a room with very loud cooler running and the receiver doesn't even hear a noise or any sort of disturbance. Very comfortable for gaming sessions. Best value for your money.
Amazon Customer,Overall it's good but but don't go for it,3,It's overall good but u get better for a little more price like it's huge for a headphone it covers the whole ears soo it's kinda sweaty when u were it for a long time.
Atul Sharma,Great experience,5,Good sound quality and also it comes with a long cable that provides a good space to do your work or play games with a safer distance from pc.
Meenakshi Srinivasan,Good for music,4,It's little big and heavy weight can't use for office long time
John lalmuanawma,Meet expectation..happy with it,4,The media could not be loaded.
Jyoie Sethi,Good product under 1500 rs,4,"Built quality 10/10,sound quality 9/10,mic quality 9/10, good for long term use"
Aniket Ravindra Shinde,Nice best loved it,5,"The media could not be loaded.
                



 Good qualityAnd the best part is you can manage everything with the appNoise cancellationVoice changers"
bharat,I have been using this from last one n I am happy with the quality and durability of the product,5,
Viraj Shah,Worth it,5,"Writing review after 20 days and I just wanna share that it's the best virtual 7.1 channel headphone and built quality is also good at this price range and you won't regret it, the good quality headphone for gaming and I'm not disappointed. GLHF :)"
shanthakumar,Amazing mic,5,This mic really amazing for video editing purposes.
Praneeth,Good,5,"Nice, cable is strong and long enough that it will not spoil easily. Not sure about gaming, i use it to attend office meeting"
abdullateef,Worth buying,5,Worth buying
Fasil,better,3,"not bad,"
Nishant,Build quality not perfect,4,For videos and lite gameing
Omkar Suryavanshi,"Excellent headphones , especially for gamer",5,Because it's beautiful light
Samarth,Poor Packaging!,2,"Just got the headphones this morning. The box was dented on all the sides by quite a lot. Really degraded the unboxing experience as this is my first gaming headphone. The headphone seem to be working fine although hoping that they do not malfunction anytime soon given that it was in this dented box. Contents inside the box were given appropriately. As for the headphone, itself can't comment much about it as of now, although the initial sound quality check I performed gave good results..."
AMIT KUMAR,Best  for music and gaming,5,Love the high lows and mids. Decent bass. Gaming is gud  but for phone  you have to use  usb c type connector which is diffcult to adjust hands  while playing  their should be option to off RGB lights
KC,There is no mute facility available on the head phones,3,"No mute facility available,  so v difficult to use for online classes.Goid for gaming"
KeTan KuMbhar,Very Good,5,I found it a very good product. Sound quality is very good. Noise cancellation is also good.
Eshant,Good buy,5,The foot steps are very clear and the sound quality is excellent value for money
abis,good gadget at affordable price,4,good sound quality and control. budget friendly
Vini,Best headphones,5,Best headphones ever i have bought so many headphones but these are the best i am full time gamer and thse are perfect
Ajinikumar,good product for this price range.,5,"good product for gaming,watching movies.medium bass. sound quality is superb"
Amazon Customer,"Worst product ever, stopped working within a week",1,"Order this on 20th sep 2022 and by 28th sep 2022 one of the receiver end stopped working and next day completely gone and return window is closed.Seller have not even provided their phone number,i request @Amazon to either enable return window or refund immediately... It's absurd to pay thousands and get faulty products"
Nikhil Ravi kadi,Nice,5,Best
Yashvardhan,Too heavy,3,"Its a bit too heavy , compared to other versions"
sumesh,You can hear the RGB breathing lights on the headphones,4,"Overall a good headset but it is pretty annoying because of the RGB light's breathing effect which we can hear though in a high frequency but it's manageable since I'm using it for 2 years. So the question is, should you get it? Definitely.. if you have a budget of 2500 rs."
Faisal Nasti,Do not buy this terrible sounding headphone,1,"Absolutely terrible headphones with poor sounding audio. It literally hurts your ears and very uncomfortable to wear. The product box was damaged with dust inside. I tried to return it and I'm only getting the "" replacement option "". Very bad service from amazon and a terrible product from boat."
Abhishek Jangra,Disappointed by boat once again.,1,The audio is reduced itself and idk how to fix it. Boat is selling use and throw tools.
Piyush Jain,Review after 6months of Usage,1,Good Build quality and Braided cable but just stopped working randomly without any physical damages etc. This is my second time experience with Boat. Last time I had a earphone that too stopped working randomly.Very limited options we have for USB A headphones in budget more brands should focus in budget segment. For sure not gonna buy any Boat products in future.
naresh,Good product on better price,5,NA
Abhishek yadav,Average,2,"Its an average product sound quality is normal, not adjustable."
Amazon Customer,Decent purchase,5,"It is a wired , but sound quality is amazing. Comfortable on the ears but its a bit heavy.I bought this for sound quality not for anything else. Very satisfied."
Balakumar Seethapathy,Very good quality at this price point.,5,"I purchased this product for multiuse, to my office and personal needs. Provides good noise cancelation n comfort on my ears."
Amazon Customer,Needless to say Boat always good.,5,"Noise clearance ,wire length,Mic quality awesome. But the size seems very big and I am feeling like wearing a cycle helmet .apart from the size everything is fine . best fit for gamming and ergonomic ussages."
Abhinav,Review of the headset,5,Best headset under 1500 this is the beast choice if your budget is under 1500 the only default is it's weight other than this are perfectly very good this headset is beast For gamers and game lovers
Shruti,best headphone for 1499 as per me!,5,the bass the volume and all was epic! u just need a software is is prety gud for gaming nd the quality is prety gud
Sharad bhil,Good product,5,"The media could not be loaded.
                



 Ok for the price but should have been a little better.  Boss sound should have been a little better."
B.Eshwar,"Great headphones with a quality mic, boat delivers.",5,"Great for gaming, great mic, Trust Boat always 💪🏽"
Harinath Prasad,Best but the above adjustable material is not that comfortable,5,"Best but the above adjustable material is not that comfortable , bass best, audio best, loudness op to the power hundred hai just go for it but the only thing is it can be heavy for you."
Karan,"Trash packaging, strictly for gaming.",2,"This is the first time I have ever seen such bad packaging from amazon. I would've given the product a 3* rating but the packaging was so bad I had to go for 2. These headphones are HUGE, do NOT get them if you have a small head. And if you have your glasses on, oh boy you're in for trouble. I didn't like this product at ALL."
Rajesh Kataru,Wonderful product..,5,
Gagan,Its nice,5,The media could not be loaded.
Rakesh,Good,5,Base thoda kam hai aur better hi sakta tha RGB bhi aur acche se lagayi jaa sakti thi
Ravi,Best in budget,5,Mic sound quality 👌 look and feel ✨ audio hearing quality 👏 lovable feeling 💖
Suvarna,Good for gaming,4,It is good
SUSHMA GAUR,Sounds is very soft and smooth,5,My son use every day for singing and steady
yogesh,Very good,5,Very good option for Redgear Cosmo 7.1 and cost also effective.... overall very good.
touseef khan,Good product,4,Super
Roshan.k.reji,Best in this rate. Value for money,5,Good for gaming for music you can adjust in its application
prasad,This is way better than anything,5,"Wow sound quality is great , you virtually hear surround sound . I recommend everyone to buy this product. Only con that I found is you get sweat around your ears so easily."
Ketan Jain,Decent Product,5,Mic quality is great!Bass is not so good..but they provide eq support via software.
Vinod Bachu,"Great quality audio, best buy for budget",5,"The audio in this headphones without the software is very clear and immersive, and after installing the drivers even better."
Akash Mandal,Killer Look with a decent sound and highly recommended for gaming.,4,The media could not be loaded.
Munna s.,boAt which Sanked,1,Extremely disrespectful this is just not an gaming headphones it's the most uncomfortable headphones i ever used i can't tolerate the pain of it gives and even it can't loose a bit it's just too tight
Amazon Customer,Prefect Headphone for Meeting and gaming,5,"proc: Build quality is awesome.Mic sensitive is Good,Sound qulality is also good.cons: Heavy headphone you will little disconfort agter using long hours"
Amazon Customer,RGB not synced gap between left earcup and frame.,2,The RGB on the headphones is not synced and there is a gap between the left ear cup and the frame at first I thought my product was faulty so I replaced it but after replacement also the same defects can be seen i don't know if the headphones are manufactured like this only but it's very very disappointing from the build of this product
Mahanthasai,Best Headset Ever,5,Might be a small suggestion if amazon helps with the adapters for ios/android as the headset use USB-A type connectivity
Soumya Hazra,Good headphones at affordable price,5,I'm using this on my laptop as I needed a USB headphone. Sound quality is good and noise cancellation is also decent.
Ringliana,Awesome . Value for money,5,At this price BoAt are doing great
sabertooth,"It's only for pc , those who want to use on phones must buy a c type dongle",5,The mesh on cups those were t shown in the product photos
Soham,Good product,5,Best product for gaming in pc or laptop only. Unfort it comes with a usb socket not with 3.5 mm socket.Overall is a best product to used in pc.
Raktim Ranjan Boruah,Best headphone on this price but they should add a 3.5 mm driver,5,
Rehan Ansari,Don't buy this product,1,Please don't buy this is very bed product not comfortable
Karpaga nathan N,Stopped working altogether,2,The product is good until a few weeks of usage after that it stops working.
Kaihao,best budget gaming headphones,5,not bad
meena,Heavy,3,The headphones are too heavy and not wearable
